PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,C,Mike Muscala (7893110),Mike Muscala,7893110,4200,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,PF,Patrick Patterson (7893096),Patrick Patterson,7893096,4200,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,SG,Troy Daniels (7892938),Troy Daniels,7892938,4200,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,PF/C,Trey Lyles (7893060),Trey Lyles,7893060,4200,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,PG/SG,Matthew Dellavedova (7892783),Matthew Dellavedova,7892783,4100,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,C,Jusuf Nurkic (7893146),Jusuf Nurkic,7893146,4100,Den@Phi 07:00PM ET,Den,
,,,,,,,,,SG,Tony Allen (7892936),Tony Allen,7892936,4100,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,PG,Tony Parker (7892799),Tony Parker,7892799,4000,SA@Mil 08:00PM ET,SA,
,,,,,,,,,C,Greg Monroe (7893115),Greg Monroe,7893115,4000,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,SF,Rondae Hollis-Jefferson (7893001),Rondae Hollis-Jefferson,7893001,4000,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,PF,Marvin Williams (7893088),Marvin Williams,7893088,4000,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,PG,Jerryd Bayless (7892836),Jerryd Bayless,7892836,4000,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,SG,Gary Harris (7892928),Gary Harris,7892928,4000,Den@Phi 07:00PM ET,Den,
,,,,,,,,,SG/SF,Joe Johnson (7892892),Joe Johnson,7892892,4000,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,SF/PF,Luol Deng (7892958),Luol Deng,7892958,4000,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,SF,Thabo Sefolosha (7892983),Thabo Sefolosha,7892983,3900,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,SG,Danny Green (7892898),Danny Green,7892898,3900,SA@Mil 08:00PM ET,SA,
,,,,,,,,,PG/SG,Rodney Stuckey (7892786),Rodney Stuckey,7892786,3900,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,PF/C,Dwight Powell (7893052),Dwight Powell,7893052,3900,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,SG,Nik Stauskas (7892927),Nik Stauskas,7892927,3900,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,PF,Richaun Holmes (7893094),Richaun Holmes,7893094,3900,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,C,Lucas Nogueira (7893151),Lucas Nogueira,7893151,3900,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,SG,E'Twaun Moore (7892937),E'Twaun Moore,7892937,3900,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SG,Manu Ginobili (7892897),Manu Ginobili,7892897,3800,SA@Mil 08:00PM ET,SA,
,,,,,,,,,C,Justin Hamilton (7893132),Justin Hamilton,7893132,3800,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SG/SF,Jeremy Lamb (7892883),Jeremy Lamb,7892883,3800,Cha@Dal 08:30PM ET,Cha,
